2 , 30 , RMSE, SNN, known,  0.6774625 
2 , 30 , NLL, SNN, known,  -0.7894683 
2 , 30 , CRPS, SNN, known,  0.3634647 
2 , 40 , RMSE, SNN, known,  0.6624674 
2 , 40 , NLL, SNN, known,  -0.7924447 
2 , 40 , CRPS, SNN, known,  0.3553408 
2 , 50 , RMSE, SNN, known,  0.6313925 
2 , 50 , NLL, SNN, known,  -0.7934784 
2 , 50 , CRPS, SNN, known,  0.3403702 
2 , 10 , RMSE, SNN, known,  0.683394 
2 , 10 , NLL, SNN, known,  -0.7837304 
2 , 10 , CRPS, SNN, known,  0.3639619 
2 , 20 , RMSE, SNN, known,  0.6943229 
2 , 20 , NLL, SNN, known,  -0.8635056 
2 , 20 , CRPS, SNN, known,  0.3682212 
2 , 30 , RMSE, SNN, known,  0.6378697 
2 , 30 , NLL, SNN, known,  -0.8919859 
2 , 30 , CRPS, SNN, known,  0.3344269 
2 , 40 , RMSE, SNN, known,  0.6341413 
2 , 40 , NLL, SNN, known,  -0.91088 
2 , 40 , CRPS, SNN, known,  0.3320962 
2 , 50 , RMSE, SNN, known,  0.6302071 
2 , 50 , NLL, SNN, known,  -0.9407832 
2 , 50 , CRPS, SNN, known,  0.3289052 
2 , 10 , RMSE, SNN, known,  0.6597699 
2 , 10 , NLL, SNN, known,  -0.7478406 
2 , 10 , CRPS, SNN, known,  0.363141 
2 , 20 , RMSE, SNN, known,  0.6883789 
2 , 20 , NLL, SNN, known,  -0.8073877 
2 , 20 , CRPS, SNN, known,  0.3684407 
2 , 30 , RMSE, SNN, known,  0.6468861 
2 , 30 , NLL, SNN, known,  -0.9021669 
2 , 30 , CRPS, SNN, known,  0.341119 
2 , 40 , RMSE, SNN, known,  0.615651 
2 , 40 , NLL, SNN, known,  -0.939805 
2 , 40 , CRPS, SNN, known,  0.3233783 
2 , 50 , RMSE, SNN, known,  0.6005747 
2 , 50 , NLL, SNN, known,  -0.9502478 
2 , 50 , CRPS, SNN, known,  0.3163266 
2 , 10 , RMSE, SNN, known,  0.6906137 
2 , 10 , NLL, SNN, known,  -0.7107273 
2 , 10 , CRPS, SNN, known,  0.3783922 
2 , 20 , RMSE, SNN, known,  0.655445 
2 , 20 , NLL, SNN, known,  -0.8264001 
2 , 20 , CRPS, SNN, known,  0.3519689 
2 , 30 , RMSE, SNN, known,  0.6132056 
2 , 30 , NLL, SNN, known,  -0.8995993 
2 , 30 , CRPS, SNN, known,  0.3290502 
2 , 40 , RMSE, SNN, known,  0.5971201 
2 , 40 , NLL, SNN, known,  -0.9111986 
2 , 40 , CRPS, SNN, known,  0.3194863 
2 , 50 , RMSE, SNN, known,  0.6005228 
2 , 50 , NLL, SNN, known,  -0.9623686 
2 , 50 , CRPS, SNN, known,  0.3190667 
2 , 10 , RMSE, SNN, known,  0.731993 
2 , 10 , NLL, SNN, known,  -0.7231933 
2 , 10 , CRPS, SNN, known,  0.401392 
2 , 20 , RMSE, SNN, known,  0.6691951 
2 , 20 , NLL, SNN, known,  -0.8944524 
2 , 20 , CRPS, SNN, known,  0.3527167 
2 , 30 , RMSE, SNN, known,  0.6584487 
2 , 30 , NLL, SNN, known,  -1.009966 
2 , 30 , CRPS, SNN, known,  0.3389501 
2 , 40 , RMSE, SNN, known,  0.6328895 
2 , 40 , NLL, SNN, known,  -1.015884 
2 , 40 , CRPS, SNN, known,  0.3251413 
2 , 50 , RMSE, SNN, known,  0.6422329 
2 , 50 , NLL, SNN, known,  -1.04021 
2 , 50 , CRPS, SNN, known,  0.3310771 
2 , 10 , RMSE, SNN, known,  0.6454822 
2 , 10 , NLL, SNN, known,  -0.9277041 
2 , 10 , CRPS, SNN, known,  0.3438984 
2 , 20 , RMSE, SNN, known,  0.5942715 
2 , 20 , NLL, SNN, known,  -0.9550453 
2 , 20 , CRPS, SNN, known,  0.3117125 
2 , 30 , RMSE, SNN, known,  0.5540515 
2 , 30 , NLL, SNN, known,  -1.033138 
2 , 30 , CRPS, SNN, known,  0.2897786 
2 , 40 , RMSE, SNN, known,  0.5508738 
2 , 40 , NLL, SNN, known,  -1.099771 
2 , 40 , CRPS, SNN, known,  0.2882441 
2 , 50 , RMSE, SNN, known,  0.5650162 
2 , 50 , NLL, SNN, known,  -1.037892 
2 , 50 , CRPS, SNN, known,  0.2947645 
2 , 10 , RMSE, SNN, known,  0.7499955 
2 , 10 , NLL, SNN, known,  -0.6904144 
